sheet_row,section,de,name,remark,source_column,status,suggested_column,confidence,area,reason,current_row_line
686,Wäärwe än latj krååm,Oster-Langenhornfeld,Aasterhoorningerfäil,,Oudere noome,lost_by_script,nordgoes,low,nordgoes,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,655
687,Wäärwe än latj krååm,Wester-Langenhornfeld,Weesterhoorningerfäil,,Oudere noome,lost_by_script,nordgoes,low,nordgoes,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,656
69,Steeden än doorpe (implicit),Ostermoor,e Ååstermååre,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; article e→Mooring; å/ä/ö/ü→Mooring,71
690,Wäärwe än latj krååm,Loheiderfeld,Lohiifäil,,Oudere noome,lost_by_script,nordgoes,low,nordgoes,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,659
691,Wäärwe än latj krååm,Löwenstedtfeld,Jöömstfeel,,Oudere noome,lost_by_script,midgoes,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,660
70,Steeden än doorpe (implicit),Westermoor,e Weestermååre,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; article e→Mooring; å/ä/ö/ü→Mooring; long-vowel doubling,72
701,Wäärwe än latj krååm,Mittelfeld,Mädfäil,,Oudere noome,deleted_variant,nordgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde,670
702,Wäärwe än latj krååm,Mönkebüllfeld,Mönkebelfäil,,Oudere noome,deleted_variant,nordgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde,671
713,Wäärwe än latj krååm,Norstedtfeld,Noorstfeel,,Oudere noome,deleted_variant,midgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,682
714,Wäärwe än latj krååm,Ohrstedtfeld,Uurstfeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,683
715,Wäärwe än latj krååm,Olderupfeld,Åldropfeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,684
716,Wäärwe än latj krååm,Ostenaufeld,Aastenuufeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,685
717,Wäärwe än latj krååm,Ostenfeldfeld,Aastenfäilfäil,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,686
725,Wäärwe än latj krååm,Rantrumdeich,Rånteremdik,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,694
726,Wäärwe än latj krååm,Rantrumfeld,Rånteremfeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,695
730,Wäärwe än latj krååm,Rödemisfeld,Röömsfeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,699
733,Wäärwe än latj krååm,Sandwehle,Sounwäil,,Oudere noome,deleted_variant,nordgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,702
734,Wäärwe än latj krååm,Sandkrug,Sounkrouch,,Oudere noome,deleted_variant,nordgoes,low,unknown,area unknown; reads like an alternative Mooring spelling,703
735,Wäärwe än latj krååm,Schardebüllfeld,Schårdebelfäil,,Oudere noome,karrhard,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde,704
737,Wäärwe än latj krååm,Schobüllfeld,Schööbelfeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,706
744,Wäärwe än latj krååm,Smeerkroog,Smeerkrouch,,Oudere noome,deleted_variant,nordgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,713
745,Wäärwe än latj krååm,Soholmfeld,Såhulmfäil,,Oudere noome,deleted_variant,karrhard,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde,714
75,Steeden än doorpe (implicit),Waygaard,Woiguurd,,Mooring,lost_by_script,local,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; long-vowel doubling,77
750,Wäärwe än latj krååm,Stadumfeld,Stååremfälj,,Oudere noome,deleted_variant,midgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,719
770,Wäärwe än latj krååm,Trendermarsch,Trindermäärsch,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,739
771,Wäärwe än latj krååm,Viölfeld,Fjåålfeel,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,740
772,Wäärwe än latj krååm,Vollstedtfeld,Faalstfäil,,Oudere noome,deleted_variant,midgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; -feel/-fäil→Goesharde/Karrharde; long-vowel doubling,741
807,Wååder,Aventofter See,Oowentoft Säie,,Oudere noome,lost_by_script,wieding,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; long-vowel doubling,768
810,Wååder,Deichschlott,Diksluut,,Oudere noome,deleted_variant,nordgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,771
811,Wååder,Großer Rienschlot,Grote Riinsluuit,,Oudere noome,deleted_variant,wieding,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,772
812,Wååder,Hoyer Tief,Huager Diip,,Oudere noome,deleted_variant,solring,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling; oa/ea/ia→Halunder/Hallig/Fering,773
821,Wååder,Oster Ley,Årster Lai,,Oudere noome,deleted_variant,wieding,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,782
821,Wååder,Oster Ley,Uaster Lai,,Oudere noome,lost_by_script,hallig,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; oa/ea/ia→Halunder/Hallig/Fering,782
824,Wååder,Ruttebüller See,Rübel Säie,,Oudere noome,deleted_variant,wieding,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,785
830,Wååder,Wiedau,Widuu,,Oudere noome,lost_by_script,wieding,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; long-vowel doubling,791
832,Wååder,Bundesgaarder See,Boinjesguurdsäie,,Oudere noome,lost_by_script,wieding,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; long-vowel doubling,793
833,Wååder,Gotteskoogsee,Gotskuuchsäie,,Oudere noome,lost_by_script,wieding,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; long-vowel doubling,794
835,Wååder,Haselund Au,Haaselün Uu,,Oudere noome,lost_by_script,midgoes,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; long-vowel doubling,796
836,Wååder,Hesbüll Feld,Hjisbelsäie,,Oudere noome,lost_by_script,wieding,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,797
862,Lönje,Dänemark,Dånmårk,,Mooring,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,803
865,Lönje,England,Änglönj,,Mooring,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring,806
866,Lönje,Vereinigtes Königreich,Feriind Kiningrik,,Mooring,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,807
867,Lönje,Schweden,Sweeden,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,808
868,Lönje,Norwegen,Norweegen,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,809
