Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Ååsterhüsem,,,,Osterhusum,,,,,
Ååster Klångsbel,Oaster Klangsbel,,,Osterklanxbüll,,,,,
Weester Klångsbel,,,,Westerklanxbüll,,,,,
,Paiensmoark,,,Paysmark,,,,,
Poredik,,,,Porrendeich,,,,,
Råntremdik,Rånteremdik,,,Rantrumdeich,,,,,
Råntremfälj,Rånteremfeel,,,Rantrumfeld,,,,,
,Raiddik,,,Rethdeich,,,,,
,Riisbel,,,Riesbüll,,,,,
,Ränkeshörn,,,Rinkeshörn,,,,,
,Röömsfeel,,,Rödemisfeld,,,,,
,Ruudespiiker,,,Rothenspieker,,,,,
Seedlönj,,,,Saatland,,,,,
,Sounwäil,,,Sandwehle,,,,,
,Sounkrouch,,,Sandkrug,,,,,
,Schårdebelfäil,,,Schardebüllfeld,,,,,
,Schiisheern,,,Schiedhörn,,,,,
,Schööbelfeel,,,Schobüllfeld,,,,,
,Swiasingfeel,,,Schwesingfeld,,,,,
,Siiwung,,,Seewang,,,,,
,Siikbel,,,Siekbüll,,,,,
Siiwersbel,,,,Sieversbüll,,,,,
Siiwersfleet,,,,Sieversfleth,,,,,
Siiwertsborj,,,,Sievertsburg,,,,,
,Smeerkrouch,,,Smeerkroog,,,,,
,Såhulmfäil,,,Soholmfeld,,,,,
,Spongwäi,,,Spangweg,,,,,
,Spåårheern,,,Sparhörn,,,,,
Speekhüs,,,,Speckhaus,,,,,
Språkebelfälj,,,,Sprakebüllfeld,,,,,
Stååsemfälj,Stååremfälj,,,Stadumfeld,,,,,
,Strüklååningsheern,,,Struklahnungshörn,,,,,
,Süürhaud,,,Süderhöft,,,,,
,Sörhörn,,,Süderhörn (Wiedingharde),,,,,
,Sööderloun,,,Süderland,,,,,
Läigemfälj,,,,Süderlügumfeld,,,,,
,Süürmäärsch,,,Südermarsch,,,,,
,Süüdstruun,,,Südstrand,,,,,
,Iikstook,,,Eckstock,,,,,
,Eest,,,Ehst,,,,,
,Eestensil,,,Ehstensiel,,,,,
Älhoodfälj,,,,Ellhöftfeld,,,,,
,Ängelsborj,,,Engelsburg,,,,,
Tamensil,,,,Tammensiel,,,,,
,Tägelmoark,,,Teglmark,,,,,
,Tätwung,,,Tettwang,,,,,
,Toolentoorp,,,Tholendorf,,,,,
Ååster-Tili,,,,Oster-Tilli,,,,,
Weester-Tili,,,,Wester-Tilli,,,,,
Taningstääfälj,,,,Tinningstedtfeld,,,,,
,Trindermäärsch,,,Trendermarsch,,,,,
,Fjåålfeel,,,Viölfeld,,,,,
,Faalstfäil,,,Vollstedtfeld,,,,,
,e Wong,,,Wange,,,,,
,Wormheern,,,Warmhörn,,,,,
Weesterdik,,,,Westerdeich,,,,,
Weestrefälj,,,,Westrefeld,,,,,
,Winertfeel,,,Winnertfeld,,,,,
,Witlöön (Gooshiirdinge),,,Wittland,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Loonschape / Härtuchdoomer ...,,,,,,,,,
Ääderstää,,ääderstäänge,äärstäänge,Eiderstedt,,,,,
e gååst,,gååstmoon,,Die Geest,,,,,
e hii(s),,hii(s)moon,,Die Heide,,,,,
dåt Büterlönj,,,,Uthlande (Halligen und Inseln),,,,,"Frasch Uurdebök, Sjölin, Walker, Wilts"
Jütlönj,,,,Jütland,,,,,
Dithmjarsche?,,,,Dithmarschen,,,,,
Brandenburj,,brandenburjer,,Brandenburg,,,,,
Holönj,,,,Holland,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wååder,,,,,,,,,
Weestsiie,,,,Nordsee,,,,,
Et heef,,,,Wattenmeer,,,,,
e (di) Iilew,di ial(e)w (halifreesk),,,"Elbe (Google Maps: der Jelf, Priel an der Kirchhofwarf auf Nordmarsch)",,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
Di Heege,,,,"Der Heeg (Google maps: der Hegd, ehemals großer Priel auf Nordmarsch bei Rixwarf)",,,,,
Weesterwäile,Wästerweel,,,Westerwehl (Butweel),,,,,
Ååsterwäile,Uusterweel,,,Osterwehl (Butweel),,,,,
Heewer Struum,,,,Heverstrom,,,,,
Norderheewer,,,,Norderheever,,,,,
Sööderheewer,,,,Süderheever,,,,,
Ääder,,,,Eider,,,,,
Treen(e),,,,Treene,Treen,Trenen,,,
Arlou?,Arluu,,,Arlau,,,,,
Oowentuft Siie,Oowentoft Säie,,,Aventofter See,,,,,
Üülj Tooch,Uuil Tooch (wisinge),,,Alter Sielzug,,,,,
Butslüütj,"Butsluut, Bopslüütj",,,Bottschlott,,,,,
,Diksluut,,,Deichschlott,,,,,
,Grote Riinsluuit,,,Großer Rienschlot,,,,,
,Huager Diip,,,Hoyer Tief,,Højer Dyb,,,
Hüsemer Ou?,Hüsemer Uu (Gooshiirdinge),,,Husumer Au,,,,,
,Lätje Uu,,,Kleine Au,,,,,
Leekinge Struum,Leeklinger Struum,,,Lecker Au,,Læk Å,,,
,Listlai (Sölring),,,Lister Ley,,,,,
Lister Diip,,,,Lister Tief,,,,,
,Näie Uu,,,Neue Au,,,,,
Naie Tooch,,,,Neuer Sielzug,,,,,
,Aastenuu,,,Ostenau,,,,,
Ååster Lai,"Uaster Lai, Årster Lai",,,Oster Ley,,,,,
,Pan'er Diip,,,Pander Tief,,,,,
,Romelgat,,,Rummelloch,,,,,
Rübel Siie,Rübel Säie,,,Ruttebüller See,,Rudbøl Sø,,,
Rübel Diip,,,,Ruttebüller Tief,,Rudbøl Dyb,,,
e Snärpe,,,,Schnerpe,,,,,
Såhoulm Ou?,"Såhulm Uu, di Strum",,,Soholmer Au,,,,,
Norderou,De Nuurder Ia (Öömring),,,Norderaue,,,,,
,De Söler Ia (Öömring),,,Süderaue,,,,,
Wiidou (?),Widuu,,,Wiedau,,,,,
Bongsiler Kanool,,,,Bongsieler Kanal,,,,,
Bünesguurdsiie,Boinjesguurdsäie,,,Bundesgaarder See,,,,,
,Gotskuuchsäie,,,Gotteskoogsee,,,,,
Iilew,Ialew (Öömrang),,,Elbe,Elv,Elben,,,
,Haaselün Uu,,,Haselund Au,,,,,
,Hjisbelsäie,,,Hesbüll Feld???,,,,,
,e Smeerle,,,Schmale,,,,,
,,,,,,,,,
,Uáá (Halunder),,uáástunger (Halunder),Oste (Nebenfluss der Elbe),,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Waiser (Halunder),,,Weser,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Stroote än weege,,,,,,,,,
Klänkerschasee,,,,Klinkerchaussee (Straße von Niebüll nach Dagebüll Hafen),,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Oudere betiikninge,,,,,,,,,
Håli,,hålimoon,,Hallig,,,,,
bütenlönj,,büt(en)lönjinge?,,Ausland,,,,,
,,nordblinge,nordblinger,Leute aus den nördlichen Dörfern,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,,ååst(er)blinge,,Leute aus den östlichen Dörfern bzw. dem östlichen Teil des Dorfes,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,,weest(er)blinge,,Leute aus den westlichen Dörfern bzw. dem westlichen Teil des Dorfes,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,,sööd(er)blinge,söödblinger,Leute aus den südlichen Dörfern,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,,bütling,,Person die außerhalb des Dorfs wohnt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lönje,,,,,,,,,
Tjüschlönj,,tjüsch,,Deutschland,,,,,
et Dånsch / Dånmårk,,dånsch,,Dänemark,,,,,
et Ååstenrik,,,,Österreich,,,,,
e Naaserlönje,,,,Niederlande,,,,,
Änglönj,,änglisch,ängelsch,England,,,,,
Feriind Kiningrik,,,,Vereinigtes Königreich,,,,,
et Swärik,Sweeden,swänsch,sweedsch,Schweden,,,,,
Norwäi,Norweegen,norwäimoon,,Norwegen,,,,,"Marie Tånageberg 2021, Sååge än Tääle"
Ruslönj,,rusch,rusisch,Russland,,,,,
Gräinlönj,,,,Grönland,,,,,
Islönj,,,,Island,,,,,
Finlönj,,,,FInland,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Hålilönj,,,,,,,,,
,Bru,,,Helgoländer Felswatt,,,,,
,Nathuurnstak,,,Lange Anna,,,,,
,deät Meddellun,,,Mittelland,,,,,
,deät Bopperlun,,,Oberland,,,,,
,deät Deelerlun,,,Unterland,,,,,
,Siithoawen,,,Südhafen,,,,,
