Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Såhoulm,Såhulm,såhoulme,såhulme,Soholm,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Snootebel,,snootebelinge,,Schnatebüll,,,,,
Weestersnootebel,,weestersnootebelinge,,Wester Schnatebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Ååstersnootebel,,ååstersnootebelinge,,Oster-Schnatebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Klantem,Kläntem,"klanernge, klanringe",klänernge (Kårhiirdinge),Klintum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Peerebel,,peerebelinge,,Perebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hulteeker,,hulteekernge,,Holzacker,,Holtager,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Späilbäk,,,,Spölbek,,Spølbæk,,,
,Huugelün,,,Hogelund,,Høgelund,,,
Språkebel,,språkebelinge,,Sprakebüll,,,,,
e Guurd,Guarde,,,Gaarde,,,,,
Schårdebel,,schårdebelinge,,Schardebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Stääsönj,,"stääsönjinge, stääblinge",,Stedesand,,,,Klintringsted,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Orerslääch,,,Adersleben,,,,,
Ding-Sönj,Däng-Sönj,,,Enge-Sande,Eng-De Sand,,Æng-'Sanj,,
Ding,"Däng (ååstermooring), Dängsbel",ingsblinge,"ängsblinge, dingsblinge",Enge,,,,"Klyntryngengi, de Clintringe engi","Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Sönj,de Sönj,soonblinge,,Sande,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Ding Hii,de Hii,hiiblinge,,Engerheide,,Enge Hede,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Eekre,De Eekere (Kårhiirdinge),,,Ackern (Enge-Sande),,,,,
Däägel,,,,Degel,,,,,
Knorborj,,,,Knorburg,,Knorborg,,,
Stååsem,Ståårem,"stååseme, stååsinge",,Stadum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Häärup,,,,Hörup,,,,,
Åktoorp,Ååchtoorp (Kårhiirdinge),åktoorpinge,"ååchtoorpinge, åktoorpeme",Achtrup,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Latjenhorn,Letjenhoarn,,,Lütjenhorn,,,,,
Bälsbel,,,,Büllsbüll,,,,,
Boowerstää,,,,Boverstedt,,,,,
"Lååselönj, Låålönj",,lååselönjinge,,Ladelund,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Brüüdjtoorp,Braarep,brüüdjtoorpinge,,Braderup (Karrharde),,Brarup,Brarp,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Hulm,,,Holm,,,,,
Meelbüü(?),Melbü (Kårhiirdinge),meelbüüinge(?),melbüinge (Kårhiirdinge),Medelby,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hol (?),,,,Holt (bei Medelby),,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Brik,,briklinge,,Riesbriek,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Schååflem,Schååflün,schååflemer,"schååfleme, schååflüner",Schafflund,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Bousbel,,bousblinge,,Bosbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hünebel?,Hunebel?,hünebelinge,,Hünnebüll / Hundebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
