kind,mooring,local,wieding,karrhard,nordgoes,midgoes,suedgoes,fering,oomrang,solring,hallig,halunder,de,hint,da,osm,wikidata,status,note
settlement,Koolnbütel,,,,,,,,,,,,Koldenbüttel,,,node/240041255,,auto,
settlement,Taning,,Täning,,,,,,,,,,Tönning,,Tønning,node/240125969,,auto,
settlement,Kotsenbel,,,,,,,,,,,,Kotzenbüll,,,node/240118368,Q20791,auto,
settlement,Hülk,,,,,,,,,,,,Hülk,,,,,,
settlement,Haablek,,,,,,,,,,,,Harblek,,,node/3534285563,,auto,
settlement,Gunsbütel,,,,,,,,,,,,Gunsbüttel,,,,,,
settlement,Borsthüsem,,,,,,,,,,,,Borsthusem,,,,,,
settlement,Kloijarn,,,,,,,,,,,,Kleihörn,,,node/13628673001,,auto,uncertain
settlement,Kååting,,,,,,,,,,,,Kating,,,node/574276753,,auto,
settlement,Katriinenheerd,,,,,,,,,,,,Katharinenheerd,,,node/240041721,,auto,
settlement,Huuchbuum,,,,,,,,,,,,Hochbohm,,,,,,
settlement,Folerwik,,,,,,,,,,,,Vollerwiek,,Follervig,node/240034034,,auto,
settlement,Wäljt,,,,,,Wäilt,,,,,,Welt,,,node/240034174,,auto,uncertain
settlement,Hülkenbel,,,,,,,,,,,,Hülkenbüll,,,,,,
settlement,Gaarding,Garn,,,,,,,,,,,Garding,,,node/240099545,,auto,
settlement,Krim,,,,,,,,,,,,Krimm,,,node/1583651506,,auto,
settlement,Hääwereeker,,,,,,,,,,,,Haferacker,,,,,,
settlement,Bröösem,,,,,,,,,,,,Brösum,St.-Peter,,node/835861201,,auto,
settlement,Laikenhüsem,,,,,,,,,,,,Leikenhusen,,,node/285294800,,auto,
settlement,Lookert,,,,,,,,,,,,Lokert,,,node/5831602799,,auto,
settlement,Popenbel,,,,,,,,,,,,Poppenbüll,,,node/240029759,,auto,
settlement,Siimensbärj,,,,,,Siimensbeeri,,,,,,Simonsberg,,,node/240104627,,auto,
settlement,Tååting,,,,,,,,,,,,Tating,,,node/107261409,,auto,
settlement,Teedenbel,,,,,,,,,,,,Tetenbüll,,,node/240114426,,auto,
settlement,Ülwesbel,,,,,,,,,,,,Uelvesbüll,,,node/240109849,,auto,
settlement,Widswort,,,,,,,,,,,,Witzwort,,,node/240071187,,auto,
settlement,Odebel,,,,,,,,,,,,Odenbüll,,,node/3049119229,,auto,
settlement,Kiifhuk,,,,,,,,,,,,Kiefshuck,,,,,,
settlement,Norderhuuwen,,,,,,Noorderhuuwen,,,,,,Norderhafen,,,node/311120720,,auto,
settlement,Sööderhuuwen,,,,,,Süürhuuwen,,,,,,Süderhafen,,,node/85925758,,auto,
settlement,Ängloun,,,,,,,,,,,,England,Nordstrand,,node/286036090,,auto,
settlement,Mursem,,,,,,,,,,,,Morsum,Nordstrand,,,,,
settlement,Weesterlönj,,,,,,,,,Weesterlön,,,Westerland,,,node/27385079,Q27998,auto,
settlement,Aidem,,,,,,,,,,,,Eidum,,,,,,
settlement,,,,,,,,,,List,,,List,,,node/240043216,,auto,
settlement,,,,,,,,,,Woningstair,,,Wenningstedt,,,node/240057401,Q20789,auto,
settlement,,,,,,,,,,Hörnem,,,Hörnum,,,node/240081927,,auto,
settlement,Abuurt,,,,,,,,,,,,Abort,Morsum,,,,,
settlement,Blisel,,,,,,,,,,,,Blidsel,,,,,,
settlement,,,,,,,,,,Brēđerep,,,Braderup,Sylt,,node/875662502,Q127416958,auto,uncertain
settlement,,,,,,,,,,Ārichsem,,,Archsum,,,node/310190147,Q20648,auto,
settlement,,,,,,,,,,Muasem,,,Morsum,,,node/310191124,Q20629,auto,
settlement,Gurt Muasem,,,,,,,,,,,,Groß-Morsum,,,,,,
settlement,Litj Muasem,,,,,,,,,,,,Klein-Morsum,,,,,,
settlement,,,,,,,,,,Kaamp,,,Kampen,,,node/240063898,,auto,
settlement,Klaampshörn,,,,,,,,,,,,Klaampshörn,,,,,,
settlement,Köningshaawen,,,,,,,,,,,,Königshafen,,,,,,
settlement,,,,,,,,,,Munkmērsk,,,Munkmarsch,,,node/3337264530,Q20649,auto,
settlement,,,,,,,,,,Raantem,,,Rantum,,,node/240057964,Q21039,auto,
settlement,,,,,,,,,,Tinem,,,Tinnum,,,node/3336661106,Q20646,auto,
settlement,,,,,,,,,,Süđerhiirdeel,,,Süderheidetal,,,node/6943742522,,auto,
settlement,Klapholtdääl,,,,,,,,,,,,Klappholttal,,,,,,
settlement,Eelenbooge,,,,,,,,,Alemböög,,,Ellenbogen,,,node/5416336440,,auto,
settlement,Uthörn,,,,,,,,,,,,Uthörn,,,,,,
settlement,,,,,,,,,,Weesterhiir,,,Westerheide,,,node/6928685546,,auto,
settlement,e Wik,,e Wik,,,,,bi a Wik,,,de Wik,,Wyk,,,node/240128323,Q20771,auto,
settlement,,,,,,,,Njiblem,,,,,Nieblum,,,node/240028632,,auto,
settlement,,,,,,,,Ekrem,,,,,Ackerum,,,node/8541220165,,auto,
settlement,,,,,,,,Aalkersem,,,,,Alkersum,,,node/240025360,,auto,
